backend,benchmark_name,completed_at,duration_ms,experiment_group,game,invalid_moves,invalid_players,metrics_context,model,moves,nash_distance,oracle_accuracy_pct,oracle_average_value_gap,oracle_blunders,oracle_perfect_moves,outcome,players,prompt_family,prompt_family_id,prompt_version,record_type,run_id,scores,seed,started_at,trial,trial_id,variant_name,winner
ollama,multi_agent_llm_game_benchmark_quantization_subset,2026-04-11T20:19:50Z,0,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [30, 33, 37], ""invalid_actions"": {}, ""nash_distance"": {""Parallel Team (F16+F16+Q4)"": {""equilibrium_allocation"": [30, 33, 37], ""l1_distance"": 14, ""normalized_l1_distance"": 0.07}, ""Parallel Team (Q4+Q8+F16)"": {""equilibrium_allocation"": [30, 33, 37], ""l1_distance"": 88, ""normalized_l1_distance"": 0.44}}, ""points"": [18, 20, 22], ""scores"": [22, 38]}",qwen2_5_7b_quantization_subset,"{""Parallel Team (F16+F16+Q4)"": [24, 32, 44], ""Parallel Team (Q4+Q8+F16)"": [1, 18, 81]}","{""Parallel Team (F16+F16+Q4)"": {""equilibrium_allocation"": [30, 33, 37], ""l1_distance"": 14, ""normalized_l1_distance"": 0.07}, ""Parallel Team (Q4+Q8+F16)"": {""equilibrium_allocation"": [30, 33, 37], ""l1_distance"": 88, ""normalized_l1_distance"": 0.44}}",,,,,,"[""Parallel Team (Q4+Q8+F16)"", ""Parallel Team (F16+F16+Q4)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260411_002628_032b2a0_dirty,"{""Parallel Team (F16+F16+Q4)"": 38, ""Parallel Team (Q4+Q8+F16)"": 22}",1766193430,2026-04-11T20:19:50Z,1,run_20260411_002628_032b2a0_dirty::internal_ai_tournament::blotto::1::1766193430,discrete_blotto_v1,Parallel Team (F16+F16+Q4)
ollama,multi_agent_llm_game_benchmark_quantization_subset,2026-04-11T20:19:50Z,0,internal_ai_tournament,connect4,[],,"{""invalid_actions"": [], ""turn_count"": 20, ""valid_columns"": [0, 1, 2, 3, 5, 6]}",qwen2_5_7b_quantization_subset,,,,,,,,"[""Parallel Team (Q4+Q8+F16)"", ""Parallel Team (F16+F16+Q4)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260411_002628_032b2a0_dirty,,1938065180,2026-04-11T20:19:50Z,1,run_20260411_002628_032b2a0_dirty::internal_ai_tournament::connect4::1::1938065180,gravity_grid_standard_v1,Parallel Team (F16+F16+Q4)
ollama,multi_agent_llm_game_benchmark_quantization_subset,2026-04-11T20:19:50Z,0,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [44, 26, 30], ""invalid_actions"": {}, ""nash_distance"": {""Parallel Team (Q4+Q4+F16)"": {""equilibrium_allocation"": [44, 26, 30], ""l1_distance"": 20, ""normalized_l1_distance"": 0.1}, ""Parallel Team (Q4+Q8+F16)"": {""equilibrium_allocation"": [44, 26, 30], ""l1_distance"": 20, ""normalized_l1_distance"": 0.1}}, ""points"": [32, 19, 22], ""scores"": [0, 0]}",qwen2_5_7b_quantization_subset,"{""Parallel Team (Q4+Q4+F16)"": [50, 30, 20], ""Parallel Team (Q4+Q8+F16)"": [50, 30, 20]}","{""Parallel Team (Q4+Q4+F16)"": {""equilibrium_allocation"": [44, 26, 30], ""l1_distance"": 20, ""normalized_l1_distance"": 0.1}, ""Parallel Team (Q4+Q8+F16)"": {""equilibrium_allocation"": [44, 26, 30], ""l1_distance"": 20, ""normalized_l1_distance"": 0.1}}",,,,,,"[""Parallel Team (Q4+Q8+F16)"", ""Parallel Team (Q4+Q4+F16)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260411_002628_032b2a0_dirty,"{""Parallel Team (Q4+Q4+F16)"": 0, ""Parallel Team (Q4+Q8+F16)"": 0}",958886805,2026-04-11T20:19:50Z,1,run_20260411_002628_032b2a0_dirty::internal_ai_tournament::blotto::1::958886805,discrete_blotto_v1,TIE
ollama,multi_agent_llm_game_benchmark_quantization_subset,2026-04-11T20:19:50Z,0,internal_ai_tournament,connect4,[],,"{""invalid_actions"": [], ""turn_count"": 24, ""valid_columns"": [0, 1, 2, 5, 6]}",qwen2_5_7b_quantization_subset,,,,,,,,"[""Parallel Team (Q4+Q8+F16)"", ""Parallel Team (Q4+Q4+F16)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260411_002628_032b2a0_dirty,,2546690943,2026-04-11T20:19:50Z,1,run_20260411_002628_032b2a0_dirty::internal_ai_tournament::connect4::1::2546690943,gravity_grid_standard_v1,Parallel Team (Q4+Q4+F16)
ollama,multi_agent_llm_game_benchmark_quantization_subset,2026-04-11T20:19:50Z,0,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [32, 38, 30], ""invalid_actions"": {}, ""nash_distance"": {""Hierarchical Team (Q4->Q8->F16)"": {""equilibrium_allocation"": [32, 38, 30], ""l1_distance"": 16, ""normalized_l1_distance"": 0.08}, ""Parallel Team (Q4+Q8+F16)"": {""equilibrium_allocation"": [32, 38, 30], ""l1_distance"": 60, ""normalized_l1_distance"": 0.3}}, ""points"": [30, 36, 28], ""scores"": [64, 30]}",qwen2_5_7b_quantization_subset,"{""Hierarchical Team (Q4->Q8->F16)"": [40, 36, 24], ""Parallel Team (Q4+Q8+F16)"": [2, 54, 44]}","{""Hierarchical Team (Q4->Q8->F16)"": {""equilibrium_allocation"": [32, 38, 30], ""l1_distance"": 16, ""normalized_l1_distance"": 0.08}, ""Parallel Team (Q4+Q8+F16)"": {""equilibrium_allocation"": [32, 38, 30], ""l1_distance"": 60, ""normalized_l1_distance"": 0.3}}",,,,,,"[""Parallel Team (Q4+Q8+F16)"", ""Hierarchical Team (Q4->Q8->F16)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260411_002628_032b2a0_dirty,"{""Hierarchical Team (Q4->Q8->F16)"": 30, ""Parallel Team (Q4+Q8+F16)"": 64}",23389066,2026-04-11T20:19:50Z,1,run_20260411_002628_032b2a0_dirty::internal_ai_tournament::blotto::1::23389066,discrete_blotto_v1,Parallel Team (Q4+Q8+F16)
ollama,multi_agent_llm_game_benchmark_quantization_subset,2026-04-11T20:19:50Z,0,internal_ai_tournament,connect4,[],,"{""invalid_actions"": [], ""turn_count"": 20, ""valid_columns"": [0, 1, 2, 4, 5, 6]}",qwen2_5_7b_quantization_subset,,,,,,,,"[""Parallel Team (Q4+Q8+F16)"", ""Hierarchical Team (Q4->Q8->F16)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260411_002628_032b2a0_dirty,,3891188348,2026-04-11T20:19:50Z,1,run_20260411_002628_032b2a0_dirty::internal_ai_tournament::connect4::1::3891188348,gravity_grid_standard_v1,Hierarchical Team (Q4->Q8->F16)
ollama,multi_agent_llm_game_benchmark_quantization_subset,2026-04-11T20:19:50Z,0,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [23, 42, 35], ""invalid_actions"": {}, ""nash_distance"": {""Hierarchical Team (Q4->F16->F16)"": {""equilibrium_allocation"": [23, 42, 35], ""l1_distance"": 36, ""normalized_l1_distance"": 0.18}, ""Parallel Team (Q4+Q8+F16)"": {""equilibrium_allocation"": [23, 42, 35], ""l1_distance"": 46, ""normalized_l1_distance"": 0.23}}, ""points"": [23, 41, 34], ""scores"": [75, 23]}",qwen2_5_7b_quantization_subset,"{""Hierarchical Team (Q4->F16->F16)"": [41, 34, 25], ""Parallel Team (Q4+Q8+F16)"": [0, 52, 48]}","{""Hierarchical Team (Q4->F16->F16)"": {""equilibrium_allocation"": [23, 42, 35], ""l1_distance"": 36, ""normalized_l1_distance"": 0.18}, ""Parallel Team (Q4+Q8+F16)"": {""equilibrium_allocation"": [23, 42, 35], ""l1_distance"": 46, ""normalized_l1_distance"": 0.23}}",,,,,,"[""Parallel Team (Q4+Q8+F16)"", ""Hierarchical Team (Q4->F16->F16)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260411_002628_032b2a0_dirty,"{""Hierarchical Team (Q4->F16->F16)"": 23, ""Parallel Team (Q4+Q8+F16)"": 75}",1619788490,2026-04-11T20:19:50Z,1,run_20260411_002628_032b2a0_dirty::internal_ai_tournament::blotto::1::1619788490,discrete_blotto_v1,Parallel Team (Q4+Q8+F16)
ollama,multi_agent_llm_game_benchmark_quantization_subset,2026-04-11T20:19:50Z,0,internal_ai_tournament,connect4,[],,"{""invalid_actions"": [], ""turn_count"": 16, ""valid_columns"": [0, 1, 2, 4, 5, 6]}",qwen2_5_7b_quantization_subset,,,,,,,,"[""Parallel Team (Q4+Q8+F16)"", ""Hierarchical Team (Q4->F16->F16)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260411_002628_032b2a0_dirty,,2042160063,2026-04-11T20:19:50Z,1,run_20260411_002628_032b2a0_dirty::internal_ai_tournament::connect4::1::2042160063,gravity_grid_standard_v1,Hierarchical Team (Q4->F16->F16)
ollama,multi_agent_llm_game_benchmark_quantization_subset,2026-04-11T20:19:50Z,0,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [32, 35, 33], ""invalid_actions"": {}, ""nash_distance"": {""Hierarchical Team (Q4->Q4->F16)"": {""equilibrium_allocation"": [32, 35, 33], ""l1_distance"": 20, ""normalized_l1_distance"": 0.1}, ""Parallel Team (Q4+Q8+F16)"": {""equilibrium_allocation"": [32, 35, 33], ""l1_distance"": 26, ""normalized_l1_distance"": 0.13}}, ""points"": [45, 48, 46], ""scores"": [94, 45]}",qwen2_5_7b_quantization_subset,"{""Hierarchical Team (Q4->Q4->F16)"": [42, 34, 24], ""Parallel Team (Q4+Q8+F16)"": [20, 48, 32]}","{""Hierarchical Team (Q4->Q4->F16)"": {""equilibrium_allocation"": [32, 35, 33], ""l1_distance"": 20, ""normalized_l1_distance"": 0.1}, ""Parallel Team (Q4+Q8+F16)"": {""equilibrium_allocation"": [32, 35, 33], ""l1_distance"": 26, ""normalized_l1_distance"": 0.13}}",,,,,,"[""Parallel Team (Q4+Q8+F16)"", ""Hierarchical Team (Q4->Q4->F16)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260411_002628_032b2a0_dirty,"{""Hierarchical Team (Q4->Q4->F16)"": 45, ""Parallel Team (Q4+Q8+F16)"": 94}",3282879321,2026-04-11T20:19:50Z,1,run_20260411_002628_032b2a0_dirty::internal_ai_tournament::blotto::1::3282879321,discrete_blotto_v1,Parallel Team (Q4+Q8+F16)
ollama,multi_agent_llm_game_benchmark_quantization_subset,2026-04-11T20:19:50Z,0,internal_ai_tournament,connect4,[],,"{""invalid_actions"": [], ""turn_count"": 19, ""valid_columns"": [0, 1, 2, 4, 5, 6]}",qwen2_5_7b_quantization_subset,,,,,,,,"[""Parallel Team (Q4+Q8+F16)"", ""Hierarchical Team (Q4->Q4->F16)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260411_002628_032b2a0_dirty,,2643543691,2026-04-11T20:19:50Z,1,run_20260411_002628_032b2a0_dirty::internal_ai_tournament::connect4::1::2643543691,gravity_grid_standard_v1,Parallel Team (Q4+Q8+F16)
