backend,benchmark_name,completed_at,duration_ms,experiment_group,game,invalid_moves,invalid_players,metrics_context,model,moves,nash_distance,oracle_accuracy_pct,oracle_average_value_gap,oracle_blunders,oracle_perfect_moves,outcome,players,prompt_family,prompt_family_id,prompt_version,record_type,run_id,scores,seed,started_at,trial,trial_id,variant_name,winner
ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T01:57:07Z,0,internal_ai_tournament,blotto,,"[""Parallel Team (Low+Med+High)"", ""Parallel Team (High+High+Low)""]","{""equilibrium_allocation"": [39, 29, 32], ""invalid_actions"": {""Parallel Team (High+High+Low)"": ""allocation_not_list"", ""Parallel Team (Low+Med+High)"": ""allocation_not_list""}, ""nash_distance"": {}, ""points"": [49, 36, 40], ""scores"": null}",qwen2_5_param_count_subset,"{""Parallel Team (High+High+Low)"": [0, 0, 0], ""Parallel Team (Low+Med+High)"": [0, 0, 0]}","{""Parallel Team (High+High+Low)"": null, ""Parallel Team (Low+Med+High)"": null}",,,,,,"[""Parallel Team (Low+Med+High)"", ""Parallel Team (High+High+Low)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215707_032b2a0_dirty,"{""Parallel Team (High+High+Low)"": 0, ""Parallel Team (Low+Med+High)"": 0}",743602015,2026-04-11T01:57:07Z,1,run_20260410_215707_032b2a0_dirty::internal_ai_tournament::blotto::1::743602015,discrete_blotto_v1,TIE
ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T01:57:07Z,0,internal_ai_tournament,connect4,"[{""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (High+High+Low)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (High+High+Low)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (High+High+Low)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (High+High+Low)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (High+High+Low)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (High+High+Low)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}]",,"{""invalid_actions"": [], ""turn_count"": 13, ""valid_columns"": [0, 1, 2, 3, 4, 5, 6]}",qwen2_5_param_count_subset,,,,,,,,"[""Parallel Team (Low+Med+High)"", ""Parallel Team (High+High+Low)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215707_032b2a0_dirty,,3316948868,2026-04-11T01:57:07Z,1,run_20260410_215707_032b2a0_dirty::internal_ai_tournament::connect4::1::3316948868,gravity_grid_standard_v1,Parallel Team (Low+Med+High)
ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T01:57:07Z,0,internal_ai_tournament,blotto,,"[""Parallel Team (Low+Med+High)"", ""Parallel Team (Low+Low+High)""]","{""equilibrium_allocation"": [43, 27, 30], ""invalid_actions"": {""Parallel Team (Low+Low+High)"": ""allocation_not_list"", ""Parallel Team (Low+Med+High)"": ""allocation_not_list""}, ""nash_distance"": {}, ""points"": [40, 25, 28], ""scores"": null}",qwen2_5_param_count_subset,"{""Parallel Team (Low+Low+High)"": [0, 0, 0], ""Parallel Team (Low+Med+High)"": [0, 0, 0]}","{""Parallel Team (Low+Low+High)"": null, ""Parallel Team (Low+Med+High)"": null}",,,,,,"[""Parallel Team (Low+Med+High)"", ""Parallel Team (Low+Low+High)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215707_032b2a0_dirty,"{""Parallel Team (Low+Low+High)"": 0, ""Parallel Team (Low+Med+High)"": 0}",3996016087,2026-04-11T01:57:07Z,1,run_20260410_215707_032b2a0_dirty::internal_ai_tournament::blotto::1::3996016087,discrete_blotto_v1,TIE
ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T01:57:07Z,0,internal_ai_tournament,connect4,"[{""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Low+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Low+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Low+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Low+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Low+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Low+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Low+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Low+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Low+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Low+High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}]",,"{""invalid_actions"": [], ""turn_count"": 21, ""valid_columns"": [0, 1, 2, 3, 4, 5, 6]}",qwen2_5_param_count_subset,,,,,,,,"[""Parallel Team (Low+Med+High)"", ""Parallel Team (Low+Low+High)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215707_032b2a0_dirty,,722103908,2026-04-11T01:57:07Z,1,run_20260410_215707_032b2a0_dirty::internal_ai_tournament::connect4::1::722103908,gravity_grid_standard_v1,Parallel Team (Low+Med+High)
ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T01:57:07Z,0,internal_ai_tournament,blotto,,"[""Parallel Team (Low+Med+High)"", ""Hierarchical Team (Low->Med->High)""]","{""equilibrium_allocation"": [52, 32, 16], ""invalid_actions"": {""Hierarchical Team (Low->Med->High)"": ""allocation_not_list"", ""Parallel Team (Low+Med+High)"": ""allocation_not_list""}, ""nash_distance"": {}, ""points"": [37, 23, 11], ""scores"": null}",qwen2_5_param_count_subset,"{""Hierarchical Team (Low->Med->High)"": [0, 0, 0], ""Parallel Team (Low+Med+High)"": [0, 0, 0]}","{""Hierarchical Team (Low->Med->High)"": null, ""Parallel Team (Low+Med+High)"": null}",,,,,,"[""Parallel Team (Low+Med+High)"", ""Hierarchical Team (Low->Med->High)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215707_032b2a0_dirty,"{""Hierarchical Team (Low->Med->High)"": 0, ""Parallel Team (Low+Med+High)"": 0}",216001872,2026-04-11T01:57:07Z,1,run_20260410_215707_032b2a0_dirty::internal_ai_tournament::blotto::1::216001872,discrete_blotto_v1,TIE
ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T01:57:07Z,0,internal_ai_tournament,connect4,"[{""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Med->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Med->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Med->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Med->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Med->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Med->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Med->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Med->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Med->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Med->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Med->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Med->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Med->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Med->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Med->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}]",,"{""invalid_actions"": [], ""turn_count"": 31, ""valid_columns"": [0, 1, 2, 3, 4, 6]}",qwen2_5_param_count_subset,,,,,,,,"[""Parallel Team (Low+Med+High)"", ""Hierarchical Team (Low->Med->High)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215707_032b2a0_dirty,,2548335833,2026-04-11T01:57:07Z,1,run_20260410_215707_032b2a0_dirty::internal_ai_tournament::connect4::1::2548335833,gravity_grid_standard_v1,Parallel Team (Low+Med+High)
ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T01:57:07Z,0,internal_ai_tournament,blotto,,"[""Parallel Team (Low+Med+High)"", ""Hierarchical Team (Low->High->High)""]","{""equilibrium_allocation"": [47, 16, 37], ""invalid_actions"": {""Hierarchical Team (Low->High->High)"": ""allocation_not_list"", ""Parallel Team (Low+Med+High)"": ""allocation_not_list""}, ""nash_distance"": {}, ""points"": [50, 17, 39], ""scores"": null}",qwen2_5_param_count_subset,"{""Hierarchical Team (Low->High->High)"": [0, 0, 0], ""Parallel Team (Low+Med+High)"": [0, 0, 0]}","{""Hierarchical Team (Low->High->High)"": null, ""Parallel Team (Low+Med+High)"": null}",,,,,,"[""Parallel Team (Low+Med+High)"", ""Hierarchical Team (Low->High->High)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215707_032b2a0_dirty,"{""Hierarchical Team (Low->High->High)"": 0, ""Parallel Team (Low+Med+High)"": 0}",4059760972,2026-04-11T01:57:07Z,1,run_20260410_215707_032b2a0_dirty::internal_ai_tournament::blotto::1::4059760972,discrete_blotto_v1,TIE
ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T01:57:07Z,0,internal_ai_tournament,connect4,"[{""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->High->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->High->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->High->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->High->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->High->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->High->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->High->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->High->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->High->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}]",,"{""invalid_actions"": [], ""turn_count"": 19, ""valid_columns"": [0, 1, 2, 3, 4, 5]}",qwen2_5_param_count_subset,,,,,,,,"[""Parallel Team (Low+Med+High)"", ""Hierarchical Team (Low->High->High)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215707_032b2a0_dirty,,3936739859,2026-04-11T01:57:07Z,1,run_20260410_215707_032b2a0_dirty::internal_ai_tournament::connect4::1::3936739859,gravity_grid_standard_v1,Parallel Team (Low+Med+High)
ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T01:57:08Z,1000,internal_ai_tournament,blotto,,"[""Parallel Team (Low+Med+High)"", ""Hierarchical Team (Low->Low->High)""]","{""equilibrium_allocation"": [46, 27, 27], ""invalid_actions"": {""Hierarchical Team (Low->Low->High)"": ""allocation_not_list"", ""Parallel Team (Low+Med+High)"": ""allocation_not_list""}, ""nash_distance"": {}, ""points"": [49, 28, 29], ""scores"": null}",qwen2_5_param_count_subset,"{""Hierarchical Team (Low->Low->High)"": [0, 0, 0], ""Parallel Team (Low+Med+High)"": [0, 0, 0]}","{""Hierarchical Team (Low->Low->High)"": null, ""Parallel Team (Low+Med+High)"": null}",,,,,,"[""Parallel Team (Low+Med+High)"", ""Hierarchical Team (Low->Low->High)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215707_032b2a0_dirty,"{""Hierarchical Team (Low->Low->High)"": 0, ""Parallel Team (Low+Med+High)"": 0}",2028844489,2026-04-11T01:57:07Z,1,run_20260410_215707_032b2a0_dirty::internal_ai_tournament::blotto::1::2028844489,discrete_blotto_v1,TIE
ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T01:57:08Z,0,internal_ai_tournament,connect4,"[{""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Low->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Low->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Low->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Low->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Low->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Low->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Low->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Low->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Low->High)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Low+Med+High)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Low->Low->High)""}]",,"{""invalid_actions"": [], ""turn_count"": 20, ""valid_columns"": [0, 1, 2, 3, 4, 5, 6]}",qwen2_5_param_count_subset,,,,,,,,"[""Parallel Team (Low+Med+High)"", ""Hierarchical Team (Low->Low->High)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215707_032b2a0_dirty,,326902339,2026-04-11T01:57:08Z,1,run_20260410_215707_032b2a0_dirty::internal_ai_tournament::connect4::1::326902339,gravity_grid_standard_v1,Hierarchical Team (Low->Low->High)
