comparison_axis,experiment_group,game,hallucination_rate_mean,legality_rate_mean,primary_metric_mean,run_label,runs
baseline_or_smoke,blotto_vs_bots,blotto,0.0,1.0,0.2777777777777778,baseline_architecture_benchmark,3
baseline_or_smoke,internal_ai_tournament,blotto,0.0,1.0,0.0,baseline_architecture_benchmark,3
baseline_or_smoke,connect4_oracle_accuracy,connect4,0.0,1.0,20.0,baseline_architecture_benchmark,3
baseline_or_smoke,internal_ai_tournament,connect4,0.0,1.0,0.5,baseline_architecture_benchmark,3
difficulty,blotto_vs_bots,blotto,0.0,1.0,0.26666666666666666,difficulty_blotto_harder,1
difficulty,internal_ai_tournament,blotto,0.0,1.0,0.0,difficulty_blotto_harder,1
difficulty,connect4_oracle_accuracy,connect4,0.0,1.0,20.0,difficulty_connect4_wide,1
difficulty,internal_ai_tournament,connect4,0.0,1.0,0.5,difficulty_connect4_wide,1
baseline_or_smoke,blotto_vs_bots,blotto,0.0,1.0,0.38333333333333336,final_architecture_comparison,3
baseline_or_smoke,internal_ai_tournament,blotto,0.0,1.0,0.0,final_architecture_comparison,3
baseline_or_smoke,connect4_oracle_accuracy,connect4,0.0,1.0,20.0,final_architecture_comparison,3
baseline_or_smoke,internal_ai_tournament,connect4,0.0,1.0,0.5,final_architecture_comparison,3
baseline_or_smoke,blotto_vs_bots,blotto,0.0,1.0,0.25,metrics_section9_smoke,1
baseline_or_smoke,internal_ai_tournament,blotto,0.0,1.0,0.0,metrics_section9_smoke,1
baseline_or_smoke,connect4_oracle_accuracy,connect4,0.0,1.0,20.0,metrics_section9_smoke,1
baseline_or_smoke,internal_ai_tournament,connect4,0.0,1.0,0.5,metrics_section9_smoke,1
baseline_or_smoke,blotto_vs_bots,blotto,0.0,1.0,0.2777777777777778,pilot_architecture_comparison,1
baseline_or_smoke,internal_ai_tournament,blotto,0.0,1.0,0.0,pilot_architecture_comparison,1
baseline_or_smoke,connect4_oracle_accuracy,connect4,0.0,1.0,20.0,pilot_architecture_comparison,1
baseline_or_smoke,internal_ai_tournament,connect4,0.0,1.0,0.5,pilot_architecture_comparison,1
prompt_family,blotto_vs_bots,blotto,0.0,1.0,0.3833333333333333,prompt_chain_of_thought_architecture_comparison,1
prompt_family,internal_ai_tournament,blotto,0.0,1.0,0.0,prompt_chain_of_thought_architecture_comparison,1
prompt_family,connect4_oracle_accuracy,connect4,0.0,1.0,20.0,prompt_chain_of_thought_architecture_comparison,1
prompt_family,internal_ai_tournament,connect4,0.0,1.0,0.5,prompt_chain_of_thought_architecture_comparison,1
prompt_family,blotto_vs_bots,blotto,0.0,1.0,0.3833333333333333,prompt_legality_first_architecture_comparison,1
prompt_family,internal_ai_tournament,blotto,0.0,1.0,0.0,prompt_legality_first_architecture_comparison,1
prompt_family,connect4_oracle_accuracy,connect4,0.0,1.0,20.0,prompt_legality_first_architecture_comparison,1
prompt_family,internal_ai_tournament,connect4,0.0,1.0,0.5,prompt_legality_first_architecture_comparison,1
prompt_family,blotto_vs_bots,blotto,0.0,1.0,0.3833333333333333,prompt_minimal_architecture_comparison,1
prompt_family,internal_ai_tournament,blotto,0.0,1.0,0.0,prompt_minimal_architecture_comparison,1
prompt_family,connect4_oracle_accuracy,connect4,0.0,1.0,20.0,prompt_minimal_architecture_comparison,1
prompt_family,internal_ai_tournament,connect4,0.0,1.0,0.5,prompt_minimal_architecture_comparison,1
