run_id,suite,comparison_axis,run_label,model_group_id,prompt_family_id,game,experiment_group,architecture_id,architecture_name,architecture_type,composition_label,composition_signature,matches,win_rate,hallucination_rate,connect4_optimal_move_accuracy,blotto_nash_distance,average_value_gap,blunder_rate,consistency_per_state_agreement,consistency_outcome_stability
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,blotto,internal_ai_tournament,parallel_lmh,Parallel Team (Low+Med+High),parallel,low+med+high,"high:1,low:1,med:1",10.0,0.0,1.0,,,,,,1.0
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,blotto,internal_ai_tournament,parallel_hhl,Parallel Team (High+High+Low),parallel,high+high+low,"high:2,low:1",10.0,0.0,1.0,,,,,,1.0
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,connect4,internal_ai_tournament,parallel_lmh,Parallel Team (Low+Med+High),parallel,low+med+high,"high:1,low:1,med:1",10.0,0.8,1.0,,,,,0.45,0.8
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,connect4,internal_ai_tournament,parallel_hhl,Parallel Team (High+High+Low),parallel,high+high+low,"high:2,low:1",10.0,0.4,1.0,,,,,0.25,0.6
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,blotto,internal_ai_tournament,parallel_llh,Parallel Team (Low+Low+High),parallel,low+low+high,"high:1,low:2",10.0,0.0,1.0,,,,,,1.0
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,connect4,internal_ai_tournament,parallel_llh,Parallel Team (Low+Low+High),parallel,low+low+high,"high:1,low:2",10.0,0.3,1.0,,,,,0.8333333333333334,0.7
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,blotto,internal_ai_tournament,hierarchical_lmh,Hierarchical Team (Low->Med->High),hierarchical,reasoner:low -> critic:med -> executive:high,"high:1,low:1,med:1",10.0,0.0,1.0,,,,,,1.0
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,connect4,internal_ai_tournament,hierarchical_lmh,Hierarchical Team (Low->Med->High),hierarchical,reasoner:low -> critic:med -> executive:high,"high:1,low:1,med:1",10.0,0.3,1.0,,,,,0.5,0.7
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,blotto,internal_ai_tournament,hierarchical_hhl,Hierarchical Team (Low->High->High),hierarchical,reasoner:low -> critic:high -> executive:high,"high:2,low:1",10.0,0.0,1.0,,,,,,1.0
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,connect4,internal_ai_tournament,hierarchical_hhl,Hierarchical Team (Low->High->High),hierarchical,reasoner:low -> critic:high -> executive:high,"high:2,low:1",10.0,0.6,1.0,,,,,0.5,0.6
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,blotto,internal_ai_tournament,hierarchical_llh,Hierarchical Team (Low->Low->High),hierarchical,reasoner:low -> critic:low -> executive:high,"high:1,low:2",10.0,0.0,1.0,,,,,,1.0
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,connect4,internal_ai_tournament,hierarchical_llh,Hierarchical Team (Low->Low->High),hierarchical,reasoner:low -> critic:low -> executive:high,"high:1,low:2",10.0,0.6,1.0,,,,,0.5,0.6
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,blotto,blotto_vs_bots,parallel_lmh,Parallel Team (Low+Med+High),parallel,low+med+high,"high:1,low:1,med:1",8.0,0.0,1.0,,,,,,1.0
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,blotto,blotto_vs_bots,parallel_hhl,Parallel Team (High+High+Low),parallel,high+high+low,"high:2,low:1",8.0,0.0,1.0,,,,,,1.0
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,blotto,blotto_vs_bots,parallel_llh,Parallel Team (Low+Low+High),parallel,low+low+high,"high:1,low:2",8.0,0.0,1.0,,,,,,1.0
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,blotto,blotto_vs_bots,hierarchical_lmh,Hierarchical Team (Low->Med->High),hierarchical,reasoner:low -> critic:med -> executive:high,"high:1,low:1,med:1",8.0,0.0,1.0,,,,,,1.0
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,blotto,blotto_vs_bots,hierarchical_hhl,Hierarchical Team (Low->High->High),hierarchical,reasoner:low -> critic:high -> executive:high,"high:2,low:1",8.0,0.0,1.0,,,,,,1.0
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,blotto,blotto_vs_bots,hierarchical_llh,Hierarchical Team (Low->Low->High),hierarchical,reasoner:low -> critic:low -> executive:high,"high:1,low:2",8.0,0.0,1.0,,,,,,1.0
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,connect4,connect4_oracle_accuracy,parallel_lmh,Parallel Team (Low+Med+High),parallel,low+med+high,"high:1,low:1,med:1",2.0,0.0,1.0,25.0,,18749.375,0.75,0.5,1.0
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,connect4,connect4_oracle_accuracy,parallel_hhl,Parallel Team (High+High+Low),parallel,high+high+low,"high:2,low:1",2.0,0.0,1.0,18.335,,18327.9,0.8166666666666667,0.5,1.0
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,connect4,connect4_oracle_accuracy,parallel_llh,Parallel Team (Low+Low+High),parallel,low+low+high,"high:1,low:2",2.0,0.0,1.0,11.11,,18061.7222,0.8888888888888888,0.5,1.0
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,connect4,connect4_oracle_accuracy,hierarchical_lmh,Hierarchical Team (Low->Med->High),hierarchical,reasoner:low -> critic:med -> executive:high,"high:1,low:1,med:1",2.0,0.0,1.0,19.645,,19630.2143,0.8035714285714286,0.5,1.0
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,connect4,connect4_oracle_accuracy,hierarchical_hhl,Hierarchical Team (Low->High->High),hierarchical,reasoner:low -> critic:high -> executive:high,"high:2,low:1",2.0,0.0,1.0,37.5,,12512.3125,0.625,0.5,1.0
run_20260410_215707_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,connect4,connect4_oracle_accuracy,hierarchical_llh,Hierarchical Team (Low->Low->High),hierarchical,reasoner:low -> critic:low -> executive:high,"high:1,low:2",2.0,0.0,1.0,54.2,,8394.6014,0.458041958041958,0.5,1.0
run_20260410_215734_032b2a0_dirty,quantization,quantization_and_mixed_team_composition,quantization_subset,qwen2_5_7b_quantization_subset,structured_reasoning_v1,blotto,internal_ai_tournament,parallel_qmix,Parallel Team (Q4+Q8+F16),parallel,q4+q8+f16,"f16:1,q4:1,q8:1",10.0,0.0,1.0,,,,,,1.0
run_20260410_215734_032b2a0_dirty,quantization,quantization_and_mixed_team_composition,quantization_subset,qwen2_5_7b_quantization_subset,structured_reasoning_v1,blotto,internal_ai_tournament,parallel_f16f16q4,Parallel Team (F16+F16+Q4),parallel,f16+f16+q4,"f16:2,q4:1",10.0,0.0,1.0,,,,,,1.0
run_20260410_215734_032b2a0_dirty,quantization,quantization_and_mixed_team_composition,quantization_subset,qwen2_5_7b_quantization_subset,structured_reasoning_v1,connect4,internal_ai_tournament,parallel_qmix,Parallel Team (Q4+Q8+F16),parallel,q4+q8+f16,"f16:1,q4:1,q8:1",10.0,0.4,1.0,,,,,0.45,0.6
run_20260410_215734_032b2a0_dirty,quantization,quantization_and_mixed_team_composition,quantization_subset,qwen2_5_7b_quantization_subset,structured_reasoning_v1,connect4,internal_ai_tournament,parallel_f16f16q4,Parallel Team (F16+F16+Q4),parallel,f16+f16+q4,"f16:2,q4:1",10.0,0.5,1.0,,,,,0.4375,0.5
run_20260410_215734_032b2a0_dirty,quantization,quantization_and_mixed_team_composition,quantization_subset,qwen2_5_7b_quantization_subset,structured_reasoning_v1,blotto,internal_ai_tournament,parallel_q4q4f16,Parallel Team (Q4+Q4+F16),parallel,q4+q4+f16,"f16:1,q4:2",10.0,0.0,1.0,,,,,,1.0
run_20260410_215734_032b2a0_dirty,quantization,quantization_and_mixed_team_composition,quantization_subset,qwen2_5_7b_quantization_subset,structured_reasoning_v1,connect4,internal_ai_tournament,parallel_q4q4f16,Parallel Team (Q4+Q4+F16),parallel,q4+q4+f16,"f16:1,q4:2",10.0,0.8,1.0,,,,,0.3333333333333333,0.8
run_20260410_215734_032b2a0_dirty,quantization,quantization_and_mixed_team_composition,quantization_subset,qwen2_5_7b_quantization_subset,structured_reasoning_v1,blotto,internal_ai_tournament,hierarchical_qmix,Hierarchical Team (Q4->Q8->F16),hierarchical,reasoner:q4 -> critic:q8 -> executive:f16,"f16:1,q4:1,q8:1",10.0,0.0,1.0,,,,,,1.0
run_20260410_215734_032b2a0_dirty,quantization,quantization_and_mixed_team_composition,quantization_subset,qwen2_5_7b_quantization_subset,structured_reasoning_v1,connect4,internal_ai_tournament,hierarchical_qmix,Hierarchical Team (Q4->Q8->F16),hierarchical,reasoner:q4 -> critic:q8 -> executive:f16,"f16:1,q4:1,q8:1",10.0,0.4,1.0,,,,,0.4166666666666667,0.6
run_20260410_215734_032b2a0_dirty,quantization,quantization_and_mixed_team_composition,quantization_subset,qwen2_5_7b_quantization_subset,structured_reasoning_v1,blotto,internal_ai_tournament,hierarchical_f16f16q4,Hierarchical Team (Q4->F16->F16),hierarchical,reasoner:q4 -> critic:f16 -> executive:f16,"f16:2,q4:1",10.0,0.0,1.0,,,,,,1.0
run_20260410_215734_032b2a0_dirty,quantization,quantization_and_mixed_team_composition,quantization_subset,qwen2_5_7b_quantization_subset,structured_reasoning_v1,connect4,internal_ai_tournament,hierarchical_f16f16q4,Hierarchical Team (Q4->F16->F16),hierarchical,reasoner:q4 -> critic:f16 -> executive:f16,"f16:2,q4:1",10.0,0.5,1.0,,,,,0.6666666666666666,0.5
run_20260410_215734_032b2a0_dirty,quantization,quantization_and_mixed_team_composition,quantization_subset,qwen2_5_7b_quantization_subset,structured_reasoning_v1,blotto,internal_ai_tournament,hierarchical_q4q4f16,Hierarchical Team (Q4->Q4->F16),hierarchical,reasoner:q4 -> critic:q4 -> executive:f16,"f16:1,q4:2",10.0,0.0,1.0,,,,,,1.0
run_20260410_215734_032b2a0_dirty,quantization,quantization_and_mixed_team_composition,quantization_subset,qwen2_5_7b_quantization_subset,structured_reasoning_v1,connect4,internal_ai_tournament,hierarchical_q4q4f16,Hierarchical Team (Q4->Q4->F16),hierarchical,reasoner:q4 -> critic:q4 -> executive:f16,"f16:1,q4:2",10.0,0.4,1.0,,,,,0.5,0.6
run_20260410_215734_032b2a0_dirty,quantization,quantization_and_mixed_team_composition,quantization_subset,qwen2_5_7b_quantization_subset,structured_reasoning_v1,blotto,blotto_vs_bots,parallel_qmix,Parallel Team (Q4+Q8+F16),parallel,q4+q8+f16,"f16:1,q4:1,q8:1",8.0,0.0,1.0,,,,,,1.0
run_20260410_215734_032b2a0_dirty,quantization,quantization_and_mixed_team_composition,quantization_subset,qwen2_5_7b_quantization_subset,structured_reasoning_v1,blotto,blotto_vs_bots,parallel_f16f16q4,Parallel Team (F16+F16+Q4),parallel,f16+f16+q4,"f16:2,q4:1",8.0,0.0,1.0,,,,,,1.0
run_20260410_215734_032b2a0_dirty,quantization,quantization_and_mixed_team_composition,quantization_subset,qwen2_5_7b_quantization_subset,structured_reasoning_v1,blotto,blotto_vs_bots,parallel_q4q4f16,Parallel Team (Q4+Q4+F16),parallel,q4+q4+f16,"f16:1,q4:2",8.0,0.0,1.0,,,,,,1.0
run_20260410_215734_032b2a0_dirty,quantization,quantization_and_mixed_team_composition,quantization_subset,qwen2_5_7b_quantization_subset,structured_reasoning_v1,blotto,blotto_vs_bots,hierarchical_qmix,Hierarchical Team (Q4->Q8->F16),hierarchical,reasoner:q4 -> critic:q8 -> executive:f16,"f16:1,q4:1,q8:1",8.0,0.0,1.0,,,,,,1.0
run_20260410_215734_032b2a0_dirty,quantization,quantization_and_mixed_team_composition,quantization_subset,qwen2_5_7b_quantization_subset,structured_reasoning_v1,blotto,blotto_vs_bots,hierarchical_f16f16q4,Hierarchical Team (Q4->F16->F16),hierarchical,reasoner:q4 -> critic:f16 -> executive:f16,"f16:2,q4:1",8.0,0.0,1.0,,,,,,1.0
run_20260410_215734_032b2a0_dirty,quantization,quantization_and_mixed_team_composition,quantization_subset,qwen2_5_7b_quantization_subset,structured_reasoning_v1,blotto,blotto_vs_bots,hierarchical_q4q4f16,Hierarchical Team (Q4->Q4->F16),hierarchical,reasoner:q4 -> critic:q4 -> executive:f16,"f16:1,q4:2",8.0,0.0,1.0,,,,,,1.0
run_20260410_215734_032b2a0_dirty,quantization,quantization_and_mixed_team_composition,quantization_subset,qwen2_5_7b_quantization_subset,structured_reasoning_v1,connect4,connect4_oracle_accuracy,parallel_qmix,Parallel Team (Q4+Q8+F16),parallel,q4+q8+f16,"f16:1,q4:1,q8:1",2.0,0.0,1.0,33.075,,10009.53845,0.6692307692307693,0.5,1.0
run_20260410_215734_032b2a0_dirty,quantization,quantization_and_mixed_team_composition,quantization_subset,qwen2_5_7b_quantization_subset,structured_reasoning_v1,connect4,connect4_oracle_accuracy,parallel_f16f16q4,Parallel Team (F16+F16+Q4),parallel,f16+f16+q4,"f16:2,q4:1",2.0,0.0,1.0,32.5,,22497.0,0.675,0.5,1.0
run_20260410_215734_032b2a0_dirty,quantization,quantization_and_mixed_team_composition,quantization_subset,qwen2_5_7b_quantization_subset,structured_reasoning_v1,connect4,connect4_oracle_accuracy,parallel_q4q4f16,Parallel Team (Q4+Q4+F16),parallel,q4+q4+f16,"f16:1,q4:2",2.0,0.0,1.0,22.725,,12515.36365,0.7727272727272727,0.5,1.0
