backend,benchmark_name,completed_at,duration_ms,experiment_group,game,invalid_moves,invalid_players,metrics_context,model,moves,nash_distance,oracle_accuracy_pct,oracle_average_value_gap,oracle_blunders,oracle_perfect_moves,outcome,players,prompt_family,prompt_family_id,prompt_version,record_type,run_id,scores,seed,started_at,trial,trial_id,variant_name,winner
mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:31:40Z,0,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [13, 48, 27, 25, 37], ""invalid_actions"": {}, ""nash_distance"": {""Parallel Team"": {""equilibrium_allocation"": [13, 48, 27, 25, 37], ""l1_distance"": 50, ""normalized_l1_distance"": 0.16666666666666666}, ""Single Agent"": {""equilibrium_allocation"": [13, 48, 27, 25, 37], ""l1_distance"": 50, ""normalized_l1_distance"": 0.16666666666666666}}, ""points"": [10, 39, 22, 20, 30], ""scores"": [0, 0]}",mock-deterministic,"{""Parallel Team"": [30, 30, 30, 30, 30], ""Single Agent"": [30, 30, 30, 30, 30]}","{""Parallel Team"": {""equilibrium_allocation"": [13, 48, 27, 25, 37], ""l1_distance"": 50, ""normalized_l1_distance"": 0.16666666666666666}, ""Single Agent"": {""equilibrium_allocation"": [13, 48, 27, 25, 37], ""l1_distance"": 50, ""normalized_l1_distance"": 0.16666666666666666}}",,,,,,"[""Single Agent"", ""Parallel Team""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_173140_8bf1db5_dirty,"{""Parallel Team"": 0, ""Single Agent"": 0}",3012726539,2026-04-10T21:31:40Z,1,run_20260410_173140_8bf1db5_dirty::internal_ai_tournament::blotto::1::3012726539,discrete_blotto_harder_v1,TIE
mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:31:40Z,0,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [23, 56, 20, 41, 10], ""invalid_actions"": {}, ""nash_distance"": {""Hierarchical Team"": {""equilibrium_allocation"": [23, 56, 20, 41, 10], ""l1_distance"": 74, ""normalized_l1_distance"": 0.24666666666666667}, ""Single Agent"": {""equilibrium_allocation"": [23, 56, 20, 41, 10], ""l1_distance"": 74, ""normalized_l1_distance"": 0.24666666666666667}}, ""points"": [22, 54, 19, 39, 10], ""scores"": [0, 0]}",mock-deterministic,"{""Hierarchical Team"": [30, 30, 30, 30, 30], ""Single Agent"": [30, 30, 30, 30, 30]}","{""Hierarchical Team"": {""equilibrium_allocation"": [23, 56, 20, 41, 10], ""l1_distance"": 74, ""normalized_l1_distance"": 0.24666666666666667}, ""Single Agent"": {""equilibrium_allocation"": [23, 56, 20, 41, 10], ""l1_distance"": 74, ""normalized_l1_distance"": 0.24666666666666667}}",,,,,,"[""Single Agent"", ""Hierarchical Team""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_173140_8bf1db5_dirty,"{""Hierarchical Team"": 0, ""Single Agent"": 0}",127378619,2026-04-10T21:31:40Z,1,run_20260410_173140_8bf1db5_dirty::internal_ai_tournament::blotto::1::127378619,discrete_blotto_harder_v1,TIE
mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:31:40Z,0,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [23, 26, 46, 23, 32], ""invalid_actions"": {}, ""nash_distance"": {""Hierarchical Team"": {""equilibrium_allocation"": [23, 26, 46, 23, 32], ""l1_distance"": 36, ""normalized_l1_distance"": 0.12}, ""Parallel Team"": {""equilibrium_allocation"": [23, 26, 46, 23, 32], ""l1_distance"": 36, ""normalized_l1_distance"": 0.12}}, ""points"": [28, 32, 56, 28, 40], ""scores"": [0, 0]}",mock-deterministic,"{""Hierarchical Team"": [30, 30, 30, 30, 30], ""Parallel Team"": [30, 30, 30, 30, 30]}","{""Hierarchical Team"": {""equilibrium_allocation"": [23, 26, 46, 23, 32], ""l1_distance"": 36, ""normalized_l1_distance"": 0.12}, ""Parallel Team"": {""equilibrium_allocation"": [23, 26, 46, 23, 32], ""l1_distance"": 36, ""normalized_l1_distance"": 0.12}}",,,,,,"[""Parallel Team"", ""Hierarchical Team""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_173140_8bf1db5_dirty,"{""Hierarchical Team"": 0, ""Parallel Team"": 0}",2312534961,2026-04-10T21:31:40Z,1,run_20260410_173140_8bf1db5_dirty::internal_ai_tournament::blotto::1::2312534961,discrete_blotto_harder_v1,TIE
mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:31:40Z,0,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [47, 25, 10, 47, 21], ""invalid_actions"": {}, ""nash_distance"": {""Parallel Team"": {""equilibrium_allocation"": [47, 25, 10, 47, 21], ""l1_distance"": 68, ""normalized_l1_distance"": 0.22666666666666666}, ""Single Agent"": {""equilibrium_allocation"": [47, 25, 10, 47, 21], ""l1_distance"": 68, ""normalized_l1_distance"": 0.22666666666666666}}, ""points"": [55, 29, 12, 55, 25], ""scores"": [0, 0]}",mock-deterministic,"{""Parallel Team"": [30, 30, 30, 30, 30], ""Single Agent"": [30, 30, 30, 30, 30]}","{""Parallel Team"": {""equilibrium_allocation"": [47, 25, 10, 47, 21], ""l1_distance"": 68, ""normalized_l1_distance"": 0.22666666666666666}, ""Single Agent"": {""equilibrium_allocation"": [47, 25, 10, 47, 21], ""l1_distance"": 68, ""normalized_l1_distance"": 0.22666666666666666}}",,,,,,"[""Single Agent"", ""Parallel Team""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_173140_8bf1db5_dirty,"{""Parallel Team"": 0, ""Single Agent"": 0}",3120993731,2026-04-10T21:31:40Z,2,run_20260410_173140_8bf1db5_dirty::internal_ai_tournament::blotto::2::3120993731,discrete_blotto_harder_v1,TIE
mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:31:40Z,0,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [13, 43, 36, 9, 49], ""invalid_actions"": {}, ""nash_distance"": {""Hierarchical Team"": {""equilibrium_allocation"": [13, 43, 36, 9, 49], ""l1_distance"": 76, ""normalized_l1_distance"": 0.25333333333333335}, ""Single Agent"": {""equilibrium_allocation"": [13, 43, 36, 9, 49], ""l1_distance"": 76, ""normalized_l1_distance"": 0.25333333333333335}}, ""points"": [15, 50, 42, 11, 58], ""scores"": [0, 0]}",mock-deterministic,"{""Hierarchical Team"": [30, 30, 30, 30, 30], ""Single Agent"": [30, 30, 30, 30, 30]}","{""Hierarchical Team"": {""equilibrium_allocation"": [13, 43, 36, 9, 49], ""l1_distance"": 76, ""normalized_l1_distance"": 0.25333333333333335}, ""Single Agent"": {""equilibrium_allocation"": [13, 43, 36, 9, 49], ""l1_distance"": 76, ""normalized_l1_distance"": 0.25333333333333335}}",,,,,,"[""Single Agent"", ""Hierarchical Team""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_173140_8bf1db5_dirty,"{""Hierarchical Team"": 0, ""Single Agent"": 0}",4116605794,2026-04-10T21:31:40Z,2,run_20260410_173140_8bf1db5_dirty::internal_ai_tournament::blotto::2::4116605794,discrete_blotto_harder_v1,TIE
mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:31:40Z,0,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [53, 37, 31, 12, 17], ""invalid_actions"": {}, ""nash_distance"": {""Hierarchical Team"": {""equilibrium_allocation"": [53, 37, 31, 12, 17], ""l1_distance"": 62, ""normalized_l1_distance"": 0.20666666666666667}, ""Parallel Team"": {""equilibrium_allocation"": [53, 37, 31, 12, 17], ""l1_distance"": 62, ""normalized_l1_distance"": 0.20666666666666667}}, ""points"": [52, 36, 31, 12, 17], ""scores"": [0, 0]}",mock-deterministic,"{""Hierarchical Team"": [30, 30, 30, 30, 30], ""Parallel Team"": [30, 30, 30, 30, 30]}","{""Hierarchical Team"": {""equilibrium_allocation"": [53, 37, 31, 12, 17], ""l1_distance"": 62, ""normalized_l1_distance"": 0.20666666666666667}, ""Parallel Team"": {""equilibrium_allocation"": [53, 37, 31, 12, 17], ""l1_distance"": 62, ""normalized_l1_distance"": 0.20666666666666667}}",,,,,,"[""Parallel Team"", ""Hierarchical Team""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_173140_8bf1db5_dirty,"{""Hierarchical Team"": 0, ""Parallel Team"": 0}",3294452490,2026-04-10T21:31:40Z,2,run_20260410_173140_8bf1db5_dirty::internal_ai_tournament::blotto::2::3294452490,discrete_blotto_harder_v1,TIE
mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:31:40Z,0,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [18, 28, 53, 24, 27], ""invalid_actions"": {}, ""nash_distance"": {""Parallel Team"": {""equilibrium_allocation"": [18, 28, 53, 24, 27], ""l1_distance"": 46, ""normalized_l1_distance"": 0.15333333333333332}, ""Single Agent"": {""equilibrium_allocation"": [18, 28, 53, 24, 27], ""l1_distance"": 46, ""normalized_l1_distance"": 0.15333333333333332}}, ""points"": [18, 28, 54, 24, 27], ""scores"": [0, 0]}",mock-deterministic,"{""Parallel Team"": [30, 30, 30, 30, 30], ""Single Agent"": [30, 30, 30, 30, 30]}","{""Parallel Team"": {""equilibrium_allocation"": [18, 28, 53, 24, 27], ""l1_distance"": 46, ""normalized_l1_distance"": 0.15333333333333332}, ""Single Agent"": {""equilibrium_allocation"": [18, 28, 53, 24, 27], ""l1_distance"": 46, ""normalized_l1_distance"": 0.15333333333333332}}",,,,,,"[""Single Agent"", ""Parallel Team""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_173140_8bf1db5_dirty,"{""Parallel Team"": 0, ""Single Agent"": 0}",3420742709,2026-04-10T21:31:40Z,3,run_20260410_173140_8bf1db5_dirty::internal_ai_tournament::blotto::3::3420742709,discrete_blotto_harder_v1,TIE
mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:31:40Z,0,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [13, 21, 26, 46, 44], ""invalid_actions"": {}, ""nash_distance"": {""Hierarchical Team"": {""equilibrium_allocation"": [13, 21, 26, 46, 44], ""l1_distance"": 60, ""normalized_l1_distance"": 0.2}, ""Single Agent"": {""equilibrium_allocation"": [13, 21, 26, 46, 44], ""l1_distance"": 60, ""normalized_l1_distance"": 0.2}}, ""points"": [15, 24, 29, 52, 49], ""scores"": [0, 0]}",mock-deterministic,"{""Hierarchical Team"": [30, 30, 30, 30, 30], ""Single Agent"": [30, 30, 30, 30, 30]}","{""Hierarchical Team"": {""equilibrium_allocation"": [13, 21, 26, 46, 44], ""l1_distance"": 60, ""normalized_l1_distance"": 0.2}, ""Single Agent"": {""equilibrium_allocation"": [13, 21, 26, 46, 44], ""l1_distance"": 60, ""normalized_l1_distance"": 0.2}}",,,,,,"[""Single Agent"", ""Hierarchical Team""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_173140_8bf1db5_dirty,"{""Hierarchical Team"": 0, ""Single Agent"": 0}",2505523783,2026-04-10T21:31:40Z,3,run_20260410_173140_8bf1db5_dirty::internal_ai_tournament::blotto::3::2505523783,discrete_blotto_harder_v1,TIE
mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:31:40Z,0,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [17, 24, 30, 31, 48], ""invalid_actions"": {}, ""nash_distance"": {""Hierarchical Team"": {""equilibrium_allocation"": [17, 24, 30, 31, 48], ""l1_distance"": 38, ""normalized_l1_distance"": 0.12666666666666668}, ""Parallel Team"": {""equilibrium_allocation"": [17, 24, 30, 31, 48], ""l1_distance"": 38, ""normalized_l1_distance"": 0.12666666666666668}}, ""points"": [21, 29, 36, 38, 59], ""scores"": [0, 0]}",mock-deterministic,"{""Hierarchical Team"": [30, 30, 30, 30, 30], ""Parallel Team"": [30, 30, 30, 30, 30]}","{""Hierarchical Team"": {""equilibrium_allocation"": [17, 24, 30, 31, 48], ""l1_distance"": 38, ""normalized_l1_distance"": 0.12666666666666668}, ""Parallel Team"": {""equilibrium_allocation"": [17, 24, 30, 31, 48], ""l1_distance"": 38, ""normalized_l1_distance"": 0.12666666666666668}}",,,,,,"[""Parallel Team"", ""Hierarchical Team""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_173140_8bf1db5_dirty,"{""Hierarchical Team"": 0, ""Parallel Team"": 0}",1600563192,2026-04-10T21:31:40Z,3,run_20260410_173140_8bf1db5_dirty::internal_ai_tournament::blotto::3::1600563192,discrete_blotto_harder_v1,TIE
mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:31:40Z,0,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [60, 32, 25, 19, 14], ""invalid_actions"": {}, ""nash_distance"": {""Parallel Team"": {""equilibrium_allocation"": [60, 32, 25, 19, 14], ""l1_distance"": 64, ""normalized_l1_distance"": 0.21333333333333335}, ""Single Agent"": {""equilibrium_allocation"": [60, 32, 25, 19, 14], ""l1_distance"": 64, ""normalized_l1_distance"": 0.21333333333333335}}, ""points"": [55, 29, 23, 17, 13], ""scores"": [0, 0]}",mock-deterministic,"{""Parallel Team"": [30, 30, 30, 30, 30], ""Single Agent"": [30, 30, 30, 30, 30]}","{""Parallel Team"": {""equilibrium_allocation"": [60, 32, 25, 19, 14], ""l1_distance"": 64, ""normalized_l1_distance"": 0.21333333333333335}, ""Single Agent"": {""equilibrium_allocation"": [60, 32, 25, 19, 14], ""l1_distance"": 64, ""normalized_l1_distance"": 0.21333333333333335}}",,,,,,"[""Single Agent"", ""Parallel Team""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_173140_8bf1db5_dirty,"{""Parallel Team"": 0, ""Single Agent"": 0}",1402513426,2026-04-10T21:31:40Z,4,run_20260410_173140_8bf1db5_dirty::internal_ai_tournament::blotto::4::1402513426,discrete_blotto_harder_v1,TIE
