architecture_ids,architecture_names,architecture_types,backend,benchmark_name,completed_at,duration_ms,experiment_group,game,game_parameters,model,outcome_label,prompt_family,prompt_family_id,prompt_version,record_type,run_id,seed,started_at,trial,trial_id,variant_name
"[""single"", ""parallel""]","[""Single Agent"", ""Parallel Team""]","[""single"", ""parallel""]",mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:30:15Z,0,internal_ai_tournament,blotto,"{""baseline_bots"": [""uniform"", ""random"", ""high_value_targeting"", ""nash_approx""], ""battlefields"": 3, ""discrete"": true, ""display_name"": ""Simultaneous Resource Game"", ""game_id"": ""blotto"", ""point_policy"": ""random_range"", ""point_range"": [10, 50], ""troop_budget"": 100, ""variant_name"": ""discrete_blotto_v1""}",mock-deterministic,TIE,minimal,minimal_v1,minimal_v1,trial_metadata,run_20260410_173015_8bf1db5_dirty,3012726539,2026-04-10T21:30:15Z,1,run_20260410_173015_8bf1db5_dirty::internal_ai_tournament::blotto::1::3012726539,discrete_blotto_v1
"[""single"", ""parallel""]","[""Single Agent"", ""Parallel Team""]","[""single"", ""parallel""]",mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:30:15Z,0,internal_ai_tournament,connect4,"{""columns"": 7, ""connect_length"": 4, ""display_name"": ""Gravity Grid Game"", ""game_id"": ""connect4"", ""oracle_depth"": 4, ""oracle_metric"": {""description"": ""Count a move as accurate if it matches any oracle-equivalent best move, and also record the oracle value gap."", ""type"": ""any_optimal_move_plus_value_gap""}, ""rows"": 6, ""variant_name"": ""gravity_grid_standard_v1""}",mock-deterministic,Single Agent,minimal,minimal_v1,minimal_v1,trial_metadata,run_20260410_173015_8bf1db5_dirty,2171897193,2026-04-10T21:30:15Z,1,run_20260410_173015_8bf1db5_dirty::internal_ai_tournament::connect4::1::2171897193,gravity_grid_standard_v1
"[""single"", ""hierarchical""]","[""Single Agent"", ""Hierarchical Team""]","[""single"", ""hierarchical""]",mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:30:15Z,0,internal_ai_tournament,blotto,"{""baseline_bots"": [""uniform"", ""random"", ""high_value_targeting"", ""nash_approx""], ""battlefields"": 3, ""discrete"": true, ""display_name"": ""Simultaneous Resource Game"", ""game_id"": ""blotto"", ""point_policy"": ""random_range"", ""point_range"": [10, 50], ""troop_budget"": 100, ""variant_name"": ""discrete_blotto_v1""}",mock-deterministic,TIE,minimal,minimal_v1,minimal_v1,trial_metadata,run_20260410_173015_8bf1db5_dirty,127378619,2026-04-10T21:30:15Z,1,run_20260410_173015_8bf1db5_dirty::internal_ai_tournament::blotto::1::127378619,discrete_blotto_v1
"[""single"", ""hierarchical""]","[""Single Agent"", ""Hierarchical Team""]","[""single"", ""hierarchical""]",mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:30:15Z,0,internal_ai_tournament,connect4,"{""columns"": 7, ""connect_length"": 4, ""display_name"": ""Gravity Grid Game"", ""game_id"": ""connect4"", ""oracle_depth"": 4, ""oracle_metric"": {""description"": ""Count a move as accurate if it matches any oracle-equivalent best move, and also record the oracle value gap."", ""type"": ""any_optimal_move_plus_value_gap""}, ""rows"": 6, ""variant_name"": ""gravity_grid_standard_v1""}",mock-deterministic,Single Agent,minimal,minimal_v1,minimal_v1,trial_metadata,run_20260410_173015_8bf1db5_dirty,3963249113,2026-04-10T21:30:15Z,1,run_20260410_173015_8bf1db5_dirty::internal_ai_tournament::connect4::1::3963249113,gravity_grid_standard_v1
"[""parallel"", ""hierarchical""]","[""Parallel Team"", ""Hierarchical Team""]","[""parallel"", ""hierarchical""]",mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:30:15Z,0,internal_ai_tournament,blotto,"{""baseline_bots"": [""uniform"", ""random"", ""high_value_targeting"", ""nash_approx""], ""battlefields"": 3, ""discrete"": true, ""display_name"": ""Simultaneous Resource Game"", ""game_id"": ""blotto"", ""point_policy"": ""random_range"", ""point_range"": [10, 50], ""troop_budget"": 100, ""variant_name"": ""discrete_blotto_v1""}",mock-deterministic,TIE,minimal,minimal_v1,minimal_v1,trial_metadata,run_20260410_173015_8bf1db5_dirty,2312534961,2026-04-10T21:30:15Z,1,run_20260410_173015_8bf1db5_dirty::internal_ai_tournament::blotto::1::2312534961,discrete_blotto_v1
"[""parallel"", ""hierarchical""]","[""Parallel Team"", ""Hierarchical Team""]","[""parallel"", ""hierarchical""]",mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:30:15Z,0,internal_ai_tournament,connect4,"{""columns"": 7, ""connect_length"": 4, ""display_name"": ""Gravity Grid Game"", ""game_id"": ""connect4"", ""oracle_depth"": 4, ""oracle_metric"": {""description"": ""Count a move as accurate if it matches any oracle-equivalent best move, and also record the oracle value gap."", ""type"": ""any_optimal_move_plus_value_gap""}, ""rows"": 6, ""variant_name"": ""gravity_grid_standard_v1""}",mock-deterministic,Parallel Team,minimal,minimal_v1,minimal_v1,trial_metadata,run_20260410_173015_8bf1db5_dirty,1951057160,2026-04-10T21:30:15Z,1,run_20260410_173015_8bf1db5_dirty::internal_ai_tournament::connect4::1::1951057160,gravity_grid_standard_v1
"[""single"", ""parallel""]","[""Single Agent"", ""Parallel Team""]","[""single"", ""parallel""]",mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:30:15Z,0,internal_ai_tournament,blotto,"{""baseline_bots"": [""uniform"", ""random"", ""high_value_targeting"", ""nash_approx""], ""battlefields"": 3, ""discrete"": true, ""display_name"": ""Simultaneous Resource Game"", ""game_id"": ""blotto"", ""point_policy"": ""random_range"", ""point_range"": [10, 50], ""troop_budget"": 100, ""variant_name"": ""discrete_blotto_v1""}",mock-deterministic,TIE,minimal,minimal_v1,minimal_v1,trial_metadata,run_20260410_173015_8bf1db5_dirty,3120993731,2026-04-10T21:30:15Z,2,run_20260410_173015_8bf1db5_dirty::internal_ai_tournament::blotto::2::3120993731,discrete_blotto_v1
"[""single"", ""parallel""]","[""Single Agent"", ""Parallel Team""]","[""single"", ""parallel""]",mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:30:15Z,0,internal_ai_tournament,connect4,"{""columns"": 7, ""connect_length"": 4, ""display_name"": ""Gravity Grid Game"", ""game_id"": ""connect4"", ""oracle_depth"": 4, ""oracle_metric"": {""description"": ""Count a move as accurate if it matches any oracle-equivalent best move, and also record the oracle value gap."", ""type"": ""any_optimal_move_plus_value_gap""}, ""rows"": 6, ""variant_name"": ""gravity_grid_standard_v1""}",mock-deterministic,Single Agent,minimal,minimal_v1,minimal_v1,trial_metadata,run_20260410_173015_8bf1db5_dirty,488003798,2026-04-10T21:30:15Z,2,run_20260410_173015_8bf1db5_dirty::internal_ai_tournament::connect4::2::488003798,gravity_grid_standard_v1
"[""single"", ""hierarchical""]","[""Single Agent"", ""Hierarchical Team""]","[""single"", ""hierarchical""]",mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:30:15Z,0,internal_ai_tournament,blotto,"{""baseline_bots"": [""uniform"", ""random"", ""high_value_targeting"", ""nash_approx""], ""battlefields"": 3, ""discrete"": true, ""display_name"": ""Simultaneous Resource Game"", ""game_id"": ""blotto"", ""point_policy"": ""random_range"", ""point_range"": [10, 50], ""troop_budget"": 100, ""variant_name"": ""discrete_blotto_v1""}",mock-deterministic,TIE,minimal,minimal_v1,minimal_v1,trial_metadata,run_20260410_173015_8bf1db5_dirty,4116605794,2026-04-10T21:30:15Z,2,run_20260410_173015_8bf1db5_dirty::internal_ai_tournament::blotto::2::4116605794,discrete_blotto_v1
"[""single"", ""hierarchical""]","[""Single Agent"", ""Hierarchical Team""]","[""single"", ""hierarchical""]",mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:30:16Z,1000,internal_ai_tournament,connect4,"{""columns"": 7, ""connect_length"": 4, ""display_name"": ""Gravity Grid Game"", ""game_id"": ""connect4"", ""oracle_depth"": 4, ""oracle_metric"": {""description"": ""Count a move as accurate if it matches any oracle-equivalent best move, and also record the oracle value gap."", ""type"": ""any_optimal_move_plus_value_gap""}, ""rows"": 6, ""variant_name"": ""gravity_grid_standard_v1""}",mock-deterministic,Single Agent,minimal,minimal_v1,minimal_v1,trial_metadata,run_20260410_173015_8bf1db5_dirty,3501346677,2026-04-10T21:30:15Z,2,run_20260410_173015_8bf1db5_dirty::internal_ai_tournament::connect4::2::3501346677,gravity_grid_standard_v1
