run_id,suite,comparison_axis,run_label,model_group_id,prompt_family_id,game,experiment_group,architecture_id,architecture_name,architecture_type,composition_label,composition_signature,composition_aliases,composition_counts,composition_quality_score,matches,win_rate,hallucination_rate,invalid_attempt_rate,legality_rate,tie_rate,connect4_optimal_move_accuracy,blotto_nash_distance,average_value_gap,blunder_rate,consistency_per_state_agreement,consistency_outcome_stability,consistency_variance_across_trials,consistency_accuracy_variance,consistency_nash_distance_variance
run_20260410_215833_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,blotto,internal_ai_tournament,parallel_lmh,Parallel Team (Low+Med+High),parallel,low+med+high,"high:1,low:1,med:1",low|med|high,"{""high"": 1, ""low"": 1, ""med"": 1}",2.0,10.0,0.4,0.0,0.0,1.0,0.0,,0.127,,,,0.6,0.24,,0.0017410000000000001
run_20260410_215833_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,blotto,internal_ai_tournament,parallel_hhl,Parallel Team (High+High+Low),parallel,high+high+low,"high:2,low:1",high|high|low,"{""high"": 2, ""low"": 1}",2.3333333333333335,10.0,0.4,0.0,0.0,1.0,0.1,,0.10300000000000001,,,,0.5,0.2225,,0.005861000000000001
run_20260410_215833_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,connect4,internal_ai_tournament,parallel_lmh,Parallel Team (Low+Med+High),parallel,low+med+high,"high:1,low:1,med:1",low|med|high,"{""high"": 1, ""low"": 1, ""med"": 1}",2.0,10.0,0.3,0.0,0.0,1.0,0.0,,,,,0.7916666666666666,0.7,0.21,,
run_20260410_215833_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,connect4,internal_ai_tournament,parallel_hhl,Parallel Team (High+High+Low),parallel,high+high+low,"high:2,low:1",high|high|low,"{""high"": 2, ""low"": 1}",2.3333333333333335,10.0,0.6,0.0,0.0,1.0,0.0,,,,,0.8611111111111112,0.6,0.24,,
run_20260410_215833_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,blotto,internal_ai_tournament,parallel_llh,Parallel Team (Low+Low+High),parallel,low+low+high,"high:1,low:2",low|low|high,"{""high"": 1, ""low"": 2}",1.6666666666666667,10.0,0.5,0.0,0.0,1.0,0.2,,0.097,,,,0.5,0.19,,0.005361
run_20260410_215833_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,connect4,internal_ai_tournament,parallel_llh,Parallel Team (Low+Low+High),parallel,low+low+high,"high:1,low:2",low|low|high,"{""high"": 1, ""low"": 2}",1.6666666666666667,10.0,0.6,0.0,0.0,1.0,0.0,,,,,0.6041666666666666,0.6,0.24,,
run_20260410_215833_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,blotto,internal_ai_tournament,hierarchical_lmh,Hierarchical Team (Low->Med->High),hierarchical,reasoner:low -> critic:med -> executive:high,"high:1,low:1,med:1",low|med|high,"{""high"": 1, ""low"": 1, ""med"": 1}",2.0,10.0,0.5,0.0,0.0,1.0,0.0,,0.088,,,,0.5,0.25,,0.0027359999999999997
run_20260410_215833_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,connect4,internal_ai_tournament,hierarchical_lmh,Hierarchical Team (Low->Med->High),hierarchical,reasoner:low -> critic:med -> executive:high,"high:1,low:1,med:1",low|med|high,"{""high"": 1, ""low"": 1, ""med"": 1}",2.0,10.0,0.3,0.0,0.0,1.0,0.0,,,,,0.5833333333333334,0.7,0.21,,
run_20260410_215833_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,blotto,internal_ai_tournament,hierarchical_hhl,Hierarchical Team (Low->High->High),hierarchical,reasoner:low -> critic:high -> executive:high,"high:2,low:1",low|high|high,"{""high"": 2, ""low"": 1}",2.3333333333333335,10.0,0.8,0.0,0.0,1.0,0.0,,0.071,,,,0.8,0.16,,0.001709
run_20260410_215833_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,connect4,internal_ai_tournament,hierarchical_hhl,Hierarchical Team (Low->High->High),hierarchical,reasoner:low -> critic:high -> executive:high,"high:2,low:1",low|high|high,"{""high"": 2, ""low"": 1}",2.3333333333333335,10.0,0.8,0.0,0.0,1.0,0.0,,,,,0.6527777777777778,0.8,0.16,,
run_20260410_215833_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,blotto,internal_ai_tournament,hierarchical_llh,Hierarchical Team (Low->Low->High),hierarchical,reasoner:low -> critic:low -> executive:high,"high:1,low:2",low|low|high,"{""high"": 1, ""low"": 2}",1.6666666666666667,10.0,0.2,0.1,0.1,0.9,0.1,,0.08777777777777777,,,,0.7,0.1625,,0.004195061728395062
run_20260410_215833_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,connect4,internal_ai_tournament,hierarchical_llh,Hierarchical Team (Low->Low->High),hierarchical,reasoner:low -> critic:low -> executive:high,"high:1,low:2",low|low|high,"{""high"": 1, ""low"": 2}",1.6666666666666667,10.0,0.4,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.6,0.24,,
run_20260410_215833_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,blotto,blotto_vs_bots,parallel_lmh,Parallel Team (Low+Med+High),parallel,low+med+high,"high:1,low:1,med:1",low|med|high,"{""high"": 1, ""low"": 1, ""med"": 1}",2.0,8.0,0.625,0.0,0.0,1.0,0.0,,0.14375,,,,0.625,0.234375,,0.0043734375
run_20260410_215833_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,blotto,blotto_vs_bots,parallel_hhl,Parallel Team (High+High+Low),parallel,high+high+low,"high:2,low:1",high|high|low,"{""high"": 2, ""low"": 1}",2.3333333333333335,8.0,0.5,0.0,0.0,1.0,0.0,,0.1175,,,,0.5,0.25,,0.00966875
run_20260410_215833_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,blotto,blotto_vs_bots,parallel_llh,Parallel Team (Low+Low+High),parallel,low+low+high,"high:1,low:2",low|low|high,"{""high"": 1, ""low"": 2}",1.6666666666666667,8.0,0.5,0.0,0.0,1.0,0.0,,0.18,,,,0.5,0.25,,0.0029000000000000007
run_20260410_215833_032b2a0_dirty,model_scale,model_size_and_mixed_team_composition,model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,blotto,blotto_vs_bots,hierarchical_lmh,Hierarchical Team (Low->Med->High),hierarchical,reasoner:low -> critic:med -> executive:high,"high:1,low:1,med:1",low|med|high,"{""high"": 1, ""low"": 1, ""med"": 1}",2.0,8.0,0.375,0.0,0.0,1.0,0.125,,0.1325,,,,0.5,0.21484375,,0.009118750000000002
