backend,comparison_axis,completed_at,is_section14_3,model,prompt_family,run_dir,run_id,run_label
mock,,2026-04-10T17:01:41.203613,False,mock-deterministic,structured_reasoning,reports/runs/experiment_runs/run_20260410_170138_8bf1db5_dirty,run_20260410_170138_8bf1db5_dirty,metrics_section9_smoke
mock,,2026-04-10T21:29:20Z,False,mock-deterministic,structured_reasoning,reports/runs/experiment_runs/run_20260410_172912_8bf1db5_dirty,run_20260410_172912_8bf1db5_dirty,pilot_architecture_comparison
mock,,2026-04-10T21:29:47Z,False,mock-deterministic,structured_reasoning,reports/runs/experiment_runs/run_20260410_172920_8bf1db5_dirty,run_20260410_172920_8bf1db5_dirty,final_architecture_comparison
mock,,2026-04-10T21:30:15Z,False,mock-deterministic,structured_reasoning,reports/runs/experiment_runs/run_20260410_172948_8bf1db5_dirty,run_20260410_172948_8bf1db5_dirty,final_architecture_comparison
mock,prompt_family,2026-04-10T21:30:42Z,False,mock-deterministic,minimal,reports/runs/experiment_runs/run_20260410_173015_8bf1db5_dirty,run_20260410_173015_8bf1db5_dirty,prompt_minimal_architecture_comparison
mock,prompt_family,2026-04-10T21:31:11Z,False,mock-deterministic,chain_of_thought,reports/runs/experiment_runs/run_20260410_173043_8bf1db5_dirty,run_20260410_173043_8bf1db5_dirty,prompt_chain_of_thought_architecture_comparison
mock,prompt_family,2026-04-10T21:31:39Z,False,mock-deterministic,legality_first,reports/runs/experiment_runs/run_20260410_173111_8bf1db5_dirty,run_20260410_173111_8bf1db5_dirty,prompt_legality_first_architecture_comparison
mock,difficulty,2026-04-10T21:31:40Z,False,mock-deterministic,structured_reasoning,reports/runs/experiment_runs/run_20260410_173140_8bf1db5_dirty,run_20260410_173140_8bf1db5_dirty,difficulty_blotto_harder
mock,difficulty,2026-04-10T21:32:24Z,False,mock-deterministic,structured_reasoning,reports/runs/experiment_runs/run_20260410_173141_8bf1db5_dirty,run_20260410_173141_8bf1db5_dirty,difficulty_connect4_wide
mock,,2026-04-10T21:32:51Z,False,mock-deterministic,structured_reasoning,reports/runs/experiment_runs/run_20260410_173224_8bf1db5_dirty,run_20260410_173224_8bf1db5_dirty,final_architecture_comparison
ollama,model_size_and_mixed_team_composition,2026-04-11T01:57:31Z,True,qwen2_5_param_count_subset,structured_reasoning,reports/runs/experiment_runs/run_20260410_215707_032b2a0_dirty,run_20260410_215707_032b2a0_dirty,model_scale_subset
ollama,quantization_and_mixed_team_composition,2026-04-11T01:57:59Z,True,qwen2_5_7b_quantization_subset,structured_reasoning,reports/runs/experiment_runs/run_20260410_215734_032b2a0_dirty,run_20260410_215734_032b2a0_dirty,quantization_subset
ollama,model_size_and_mixed_team_composition,2026-04-11T04:26:24Z,True,qwen2_5_param_count_subset,structured_reasoning,reports/runs/experiment_runs/run_20260410_215833_032b2a0_dirty,run_20260410_215833_032b2a0_dirty,model_scale_subset
ollama,quantization_and_mixed_team_composition,2026-04-12T00:35:09Z,True,qwen2_5_7b_quantization_subset,structured_reasoning,reports/runs/experiment_runs/run_20260411_002628_032b2a0_dirty,run_20260411_002628_032b2a0_dirty,quantization_subset
mock,,2026-04-12T01:39:17Z,False,mock-deterministic,structured_reasoning,reports/runs/experiment_runs/run_20260411_213908_032b2a0_dirty,run_20260411_213908_032b2a0_dirty,baseline_architecture_benchmark
mock,,2026-04-12T01:41:26Z,False,mock-deterministic,structured_reasoning,reports/runs/experiment_runs/run_20260411_214117_032b2a0_dirty,run_20260411_214117_032b2a0_dirty,baseline_architecture_benchmark
mock,,2026-04-12T01:46:17Z,False,mock-deterministic,structured_reasoning,reports/runs/experiment_runs/run_20260411_214609_032b2a0_dirty,run_20260411_214609_032b2a0_dirty,baseline_architecture_benchmark
